date,spread_A_mv,reits_close,bond_idx_close,csi300_close,csi500_close,csi1000_close,yield_10y
2022-12-09,0.6904301480169974,1132.9,218.7117,3998.244,6192.301,6680.375,2.8903
2022-12-12,0.7122160805130031,1128.3,218.6847,3953.443,6154.809,6655.674,2.8902
2022-12-13,0.7149327875758651,1124.91,218.4533,3945.681,6121.662,6593.668,2.8952
2022-12-14,0.7745222958963282,1117.69,218.6098,3954.886,6096.386,6570.018,2.8655
2022-12-15,0.788843623093682,1116.25,218.6218,3951.989,6101.879,6597.551,2.8829
2022-12-16,0.80355794892375,1114.86,218.5978,3954.227,6072.863,6519.436,2.8856
2022-12-19,0.8709144527326433,1112.34,218.8008,3893.221,5936.475,6390.77,2.8632
2022-12-20,0.8775351402077143,1104.16,218.8244,3829.017,5878.031,6341.583,2.8732
2022-12-21,0.879038290680473,1101.38,218.8152,3830.538,5845.835,6289.136,2.8606
2022-12-22,0.8990444338153503,1102.31,218.9335,3836.028,5779.056,6186.928,2.8503
2022-12-23,0.851984341090909,1108.63,219.1035,3828.219,5763.346,6160.745,2.8251
2022-12-26,0.8513579489237499,1109.62,219.1539,3843.489,5843.256,6275.524,2.8378
2022-12-27,0.8725557996303137,1106.41,219.1038,3887.854,5885.662,6325.628,2.8657
2022-12-28,0.9858084742033381,1097.27,219.1185,3871.264,5862.097,6268.466,2.8503
2022-12-29,1.081772844186046,1098.78,219.3003,3856.701,5857.402,6261.829,2.8376
2022-12-30,1.0871134747866558,1114.47,219.4014,3871.634,5864.467,6281.621,2.8353
2023-01-03,1.1179567957911145,1107.5,219.6157,3887.899,5955.897,6423.701,2.8228
2023-01-04,1.1212637395023322,1102.5,219.8178,3892.948,5952.454,6421.277,2.8103
2023-01-05,1.104223322178988,1096.68,219.9235,3968.578,6010.464,6485.469,2.8304
2023-01-06,1.0744573176197831,1102.31,219.8761,3980.889,6012.815,6500.32,2.8328
2023-01-09,1.0720207270615556,1102.24,219.9175,4013.12,6040.019,6535.749,2.8428
2023-01-10,1.041027599537037,1106.26,219.7606,4017.474,6048.297,6540.201,2.8602
2023-01-11,1.028923822307692,1105.96,219.7199,4010.031,6014.157,6486.905,2.8603
2023-01-12,1.0204197139552806,1104.06,219.7787,4017.869,6015.287,6489.57,2.8778
2023-01-13,1.0244588268633534,1101.5,219.7126,4074.377,6057.69,6517.513,2.901
2023-01-16,1.0348365134818285,1098.42,219.5821,4137.964,6126.177,6591.806,2.9167
2023-01-17,1.043669464689816,1095.5,219.5754,4137.242,6132.639,6597.495,2.9017
2023-01-18,1.021630709048361,1095.96,219.5139,4130.314,6151.456,6613.005,2.9222
2023-01-19,1.030869464689816,1096.5,219.5414,4156.008,6204.326,6676.08,2.9145
2023-01-20,0.9771791716937354,1098.25,219.4994,4181.527,6251.434,6736.852,2.9331
2023-01-30,0.9834175098265888,1105.86,219.7403,4201.345,6283.327,6786.453,2.9133
2023-01-31,0.9500861255707758,1118.72,219.81,4156.858,6289.15,6805.276,2.8977
2023-02-01,0.9057422407547168,1125.34,219.802,4195.933,6365.905,6916.72,2.9101
2023-02-02,0.9463986841505134,1120.83,219.8015,4181.149,6370.141,6933.226,2.897
